2000,3000,2000,10400
2000,10700,2000,17600
5900,10400,5900,10600
7900,10400,7900,10600
9800,3000,9800,8100
9800,9300,9800,10400
10100,3000,10100,7800
11800,6100,11800,10400
11800,10600,11800,13700
11800,15500,11800,17600
12100,3000,12100,3900
12100,5100,12100,10400
12100,10600,12100,13700
12100,15500,12100,17600
16000,10400,16000,10600
17900,10400,17900,10600
21800,3000,21800,10400
21800,10600,21800,17600
2000,3000,9800,3000
10100,3000,10500,3000
10700,3000,10800,3000
11000,3000,11200,3000
12100,3000,21800,3000
11800,3900,12100,3900
11800,5100,12100,5100
9800,8100,10100,8100
9800,9300,10000,9300
2000,10400,5900,10400
7900,10400,9800,10400
10800,10400,11800,10400
12100,10400,16000,10400
17900,10400,21800,10400
2100,10600,5900,10600
7900,10600,11800,10600
12100,10600,16000,10600
17900,10600,21800,10600
11800,13700,12100,13700
11800,15500,12100,15500
2000,17600,11800,17600
12100,17600,21800,17600
